run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
28,user1;user5;user6,user2;user3;user10;user11,0.8,0.8375,0.13333333333333333,0.25,0.902962962962963,45,60,105
29,user1;user5;user7,user3;user8;user9;user6,0.819047619047619,0.8708333333333333,0.08888888888888889,0.25,0.8744444444444445,45,60,105
30,user1;user5;user8,user9;user2;user4;user3,0.8476190476190476,0.9083333333333333,0.044444444444444446,0.23333333333333334,0.8292592592592593,45,60,105
31,user1;user5;user9,user3;user4;user11;user8,0.7238095238095238,0.6916666666666668,0.2222222222222222,0.23333333333333334,0.7555555555555555,45,60,105
32,user1;user5;user10,user7;user3;user12;user6,0.7333333333333333,0.6958333333333333,0.1111111111111111,0.21666666666666667,0.65,45,60,105
33,user1;user5;user11,user12;user3;user4;user2,0.7904761904761904,0.8208333333333333,0.13333333333333333,0.25,0.9692592592592593,45,60,105
34,user1;user5;user12,user10;user9;user6;user2,0.7047619047619048,0.8333333333333333,0.06666666666666667,0.4666666666666667,0.5940740740740741,45,60,105
35,user1;user6;user7,user9;user11;user5;user3,0.8952380952380953,0.8166666666666667,0.24444444444444444,0.0,0.9940740740740741,45,60,105
36,user1;user6;user8,user7;user9;user3;user10,0.9714285714285714,0.95,0.06666666666666667,0.0,0.9974074074074074,45,60,105
37,user1;user6;user9,user5;user3;user4;user8,0.7142857142857143,0.8,0.13333333333333333,0.4,0.8681481481481481,45,60,105
38,user1;user6;user10,user4;user11;user12;user7,0.8285714285714286,0.8125,0.2,0.15,0.9251851851851852,45,60,105
39,user1;user6;user11,user7;user9;user12;user8,0.7142857142857143,0.775,0.13333333333333333,0.36666666666666664,0.9144444444444445,45,60,105
40,user1;user6;user12,user11;user10;user4;user7,0.8476190476190476,0.8583333333333333,0.13333333333333333,0.16666666666666666,0.8770370370370371,45,60,105
41,user1;user7;user8,user4;user11;user6;user12,0.819047619047619,0.8458333333333333,0.13333333333333333,0.21666666666666667,0.7874074074074073,45,60,105
42,user1;user7;user9,user11;user12;user2;user3,0.7142857142857143,0.8125,0.1111111111111111,0.4166666666666667,0.7103703703703703,45,60,105
43,user1;user7;user10,user6;user2;user5;user11,0.6857142857142857,0.7875000000000001,0.13333333333333333,0.45,0.7214814814814815,45,60,105
44,user1;user7;user11,user5;user3;user4;user10,0.9142857142857143,0.85,0.2,0.0,1.0,45,60,105
45,user1;user7;user12,user2;user8;user10;user11,0.9047619047619048,0.8708333333333333,0.15555555555555556,0.05,0.9681481481481482,45,60,105
46,user1;user8;user9,user4;user5;user10;user6,0.7238095238095238,0.8291666666666666,0.08888888888888889,0.4166666666666667,0.7322222222222222,45,60,105
47,user1;user8;user10,user9;user5;user4;user3,0.7428571428571429,0.825,0.1111111111111111,0.36666666666666664,0.7092592592592593,45,60,105
48,user1;user8;user11,user3;user6;user12;user4,0.8857142857142857,0.9125000000000001,0.06666666666666667,0.15,0.9714814814814815,45,60,105
49,user1;user8;user12,user5;user3;user11;user7,0.9523809523809523,0.9666666666666667,0.022222222222222223,0.06666666666666667,0.9844444444444445,45,60,105
50,user1;user9;user10,user3;user4;user7;user8,0.6190476190476191,0.6708333333333333,0.17777777777777778,0.45,0.89,45,60,105
51,user1;user9;user11,user8;user6;user12;user7,0.8,0.8375,0.1111111111111111,0.25,0.9622222222222222,45,60,105
52,user1;user9;user12,user10;user7;user2;user8,0.8285714285714286,0.8500000000000001,0.13333333333333333,0.2,0.8066666666666666,45,60,105
53,user1;user10;user11,user12;user4;user2;user9,0.6666666666666666,0.7791666666666667,0.1111111111111111,0.48333333333333334,0.7825925925925925,45,60,105
54,user1;user10;user12,user11;user4;user5;user2,0.7523809523809524,0.8416666666666667,0.08888888888888889,0.36666666666666664,0.765925925925926,45,60,105
55,user1;user11;user12,user7;user10;user9;user5,0.9238095238095239,0.8666666666666667,0.17777777777777778,0.0,0.9729629629629629,45,60,105
56,user2;user3;user4,user7;user10;user11;user6,0.8380952380952381,0.8791666666666667,0.06666666666666667,0.21666666666666667,0.9888888888888889,45,60,105
57,user2;user3;user5,user9;user1;user6;user7,0.7142857142857143,0.7625,0.15555555555555556,0.35,0.7466666666666666,45,60,105
58,user2;user3;user6,user10;user12;user4;user8,0.9428571428571428,0.9375,0.022222222222222223,0.05,0.7281481481481481,45,60,105
59,user2;user3;user7,user5;user11;user6;user4,0.9333333333333333,0.8833333333333333,0.13333333333333333,0.0,0.9944444444444445,45,60,105
60,user2;user3;user8,user6;user9;user12;user1,0.8,0.8375,0.1111111111111111,0.25,1.0,45,60,105
61,user2;user3;user9,user5;user8;user4;user7,0.7047619047619048,0.8083333333333333,0.06666666666666667,0.43333333333333335,0.7818518518518518,45,60,105
62,user2;user3;user10,user11;user6;user8;user1,0.6857142857142857,0.7625,0.15555555555555556,0.4166666666666667,0.994074074074074,45,60,105
63,user2;user3;user11,user1;user6;user8;user4,0.819047619047619,0.7958333333333333,0.2,0.15,0.6862962962962963,45,60,105
64,user2;user3;user12,user8;user4;user1;user5,0.9047619047619048,0.8333333333333334,0.2,0.0,0.9248148148148148,45,60,105
65,user2;user4;user5,user11;user1;user8;user10,0.8476190476190476,0.8833333333333334,0.08888888888888889,0.2,0.9385185185185185,45,60,105
66,user2;user4;user6,user7;user10;user12;user5,0.9428571428571428,0.9,0.13333333333333333,0.0,0.9811111111111112,45,60,105
67,user2;user4;user7,user5;user3;user9;user6,0.6666666666666666,0.7666666666666667,0.15555555555555556,0.4666666666666667,0.8788888888888888,45,60,105
68,user2;user4;user8,user7;user6;user11;user10,0.7523809523809524,0.8791666666666667,0.022222222222222223,0.4166666666666667,0.8818518518518519,45,60,105
69,user2;user4;user9,user10;user6;user11;user12,0.8380952380952381,0.9041666666666668,0.044444444444444446,0.25,0.9199999999999999,45,60,105
70,user2;user4;user10,user6;user8;user12;user3,0.8095238095238095,0.8416666666666668,0.13333333333333333,0.23333333333333334,0.8085185185185185,45,60,105
71,user2;user4;user11,user10;user7;user8;user6,0.9619047619047619,0.9333333333333333,0.08888888888888889,0.0,1.0,45,60,105
72,user2;user4;user12,user1;user7;user11;user6,0.9619047619047619,0.9458333333333333,0.06666666666666667,0.016666666666666666,0.9596296296296296,45,60,105
73,user2;user5;user6,user7;user3;user4;user9,0.6857142857142857,0.8375,0.044444444444444446,0.5166666666666667,0.7422222222222222,45,60,105
74,user2;user5;user7,user8;user6;user10;user1,0.8285714285714286,0.8375,0.15555555555555556,0.18333333333333332,0.9092592592592592,45,60,105
75,user2;user5;user8,user12;user7;user1;user9,0.8571428571428571,0.925,0.022222222222222223,0.23333333333333334,0.8211111111111111,45,60,105
76,user2;user5;user9,user6;user4;user3;user10,0.5047619047619047,0.6708333333333334,0.022222222222222223,0.7166666666666667,0.6807407407407408,45,60,105
77,user2;user5;user10,user4;user7;user1;user8,0.7333333333333333,0.7458333333333333,0.1111111111111111,0.2833333333333333,0.922962962962963,45,60,105
78,user2;user5;user11,user7;user4;user8;user12,0.8,0.8375000000000001,0.13333333333333333,0.25,0.9622222222222222,45,60,105
